# URL: https://s.nosec.me/clash/thelinuxfoundation.txt
# Name: thelinuxfoundation
# Updated: Sun, 03 May 2026 00:36:18 GMT
# Total: 16

DOMAIN,amp.akamaized.net
DOMAIN-SUFFIX,amp.dev
DOMAIN-SUFFIX,ampproject.com
DOMAIN-SUFFIX,ampproject.net
DOMAIN-SUFFIX,ampproject.org
DOMAIN-SUFFIX,electronjs.org
DOMAIN-SUFFIX,jquery.com
DOMAIN-SUFFIX,jquerymobile.com
DOMAIN-SUFFIX,jqueryui.com
DOMAIN-SUFFIX,kernel.org
DOMAIN-SUFFIX,lfai.foundation
DOMAIN-SUFFIX,linux.org
DOMAIN-SUFFIX,linuxfoundation.org
DOMAIN-SUFFIX,mochajs.org
DOMAIN-SUFFIX,nodejs.org
DOMAIN-SUFFIX,openjsf.org
